Contractor_Name,State,RT_POS_Customer,Qtrly_Avg_Kw,Qtrly_Avg_PC
West Coast Solar (NorCal),CA,TRUE,866.491202692308,117.585605923077
Energy Concepts (CA),CA,,841.468475230769,99.5622682307692
Bright Energy,CA,,209.908187,29.30111
GAF,CA,TRUE,319.903602384615,51.5704908461539
Titanium Solar LLC,CA,TRUE,1639.59968676923,218.046909461538
Palmetto Solar,CA,TRUE,1700.67926876923,231.927672153846
Evans Energy,CA,,437.767859615385,45.8389952307692
Infinium Solar,CA,TRUE,403.958028307692,60.4704745384615
Sunriver Solar,CA,,381.199963461539,46.113316
Greenpire,CA,,280.1191596,48.6814293
Solarcraft Services,CA,,453.503197538462,59.8404048461539
Taylor Morrison of California LLC,CA,,286.318073125,53.018961
Got Watts Electric,CA,,360.579098153846,48.5549696153846
Xero Solar,CA,TRUE,341.060065538462,48.1247020769231
Bella Construction,CA,,211.142930153846,35.8281788461539
Homelink Solar,CA,,293.05137125,36.5821225
Calstate Solar,CA,,563.425229153846,147.761170538462
Paradise Renewables,CA,,311.193157615385,44.5840631538462
G C Electric-Solar,CA,,391.941306538462,53.6176797692308
Kota Energy Group LLC,CA,TRUE,2789.70028861539,408.042301538462
Voltaic Construction Inc,CA,,298.9800729,41.9424938
Core Energy Group Inc.,CA,,2755.61642676923,388.578188846154
Plug It In Solar,CA,TRUE,383.231155076923,50.7850523846154
HillCrest Construction Group LLC,CA,,281.3032335,51.816493
Luminalt Energy Corporation,CA,,341.506424307692,56.2542083076923
Future Energy Corp,CA,,453.012750769231,66.1994697692308
Aztech Solar - Jm Electric,CA,,167.211607363636,18.9541671818182
"Sonlight Construction, Inc",CA,,304.400835222222,34.1290194444444
Infinity Solar Systems,CA,TRUE,562.228115,60.5450824
Solarponics Inc.,CA,TRUE,358.095832076923,51.4936777692308
Palomar Solar,CA,,489.090799076923,59.6035976153846
American Solar Advantage,CA,,742.093943461538,87.7446906923077
California Solar Electric Systems,CA,,325.914838846154,40.5458664615385
My Smart House Llc,CA,,343.505687666667,53.5431576666667
"Alternative Systems, Inc.",CA,,511.855315923077,66.5566112307692
Vital Energy,CA,TRUE,390.985240076923,52.4020113076923
Sun Solar Energy Solutions,CA,,1340.27524146154,145.466711538462
New Edge Solutions Inc,CA,,150.541965461538,27.0046726923077
PGS Solar and Smart Homes,CA,,550.925150076923,70.4770973846154
Jp Electric,CA,,422.284713384615,45.8209306153846
Sunergy Construction,CA,TRUE,374.787180615385,46.4829766153846
Velascos Electrical,CA,TRUE,210.454166,25.891904
True Power Solar,CA,TRUE,610.668332923077,78.3096893076923
Sun Energy Builders,CA,,316.355594,39.5645859230769
Sunmade Energy,CA,,456.475915846154,49.8586131538462
Lumio,CA,TRUE,2744.48664353846,378.806807538462
Calsolar Inc,CA,,160.439183307692,10.3724956153846
Titan Solar,CA,TRUE,2698.58932838462,369.400483307692
Premier Solar Solutions,CA,TRUE,493.811419538462,62.8991826923077
True Pwr CA LLC,CA,,137.665437,22.4489241111111
Bland Solar & Air,CA,,811.544622615385,100.232047846154
Next Door Home Construction,CA,TRUE,360.318775692308,50.2811334615385
United Solar Electric (CA),CA,,268.161719,39.0108099230769
Sunvault,CA,,259.865985384615,30.9721493846154
Cosmic Solar,CA,TRUE,294.476582307692,37.316876
Solar-360 Buidling Services Inc.,CA,TRUE,394.737537076923,44.6162263846154
Accelerated Environmental Services Inc,CA,,207.29166975,28.11103575
Sunternal Solar,CA,,363.251915230769,60.3986883076923
Levion Solar,CA,TRUE,861.903992625,128.449708875
Sunlux Energy,CA,TRUE,768.134270923077,84.1749994615385
Home Energy Systems Inc.,CA,TRUE,738.878883307693,111.348826461538
La Power Center Corp,CA,,315.618076846154,44.2320242307692
Repower Livermore,CA,,263.313196230769,37.8018366923077
Northstar Solar Inc.,CA,,250.947122692308,33.1689537692308
Supreme Solar and Electric,CA,,194.965005230769,22.2211126923077
Brighten Solar Co.,CA,,216.216811769231,33.1658021538462
Green Hill Remodeling,CA,,354.108041076923,56.8027861538462
Univercity Solar,CA,TRUE,377.134255769231,45.1768474615385
Underline Energy Concepts,CA,,596.075557384615,58.1030320769231
GSJ Constrution Dba American Engineering,CA,TRUE,395.728088461539,55.2962337692308
L S Remodeling,CA,,178.741649769231,29.1606730769231
Silverline Home Remodeling,CA,TRUE,440.263903,61.6900237692308
Divine Power,CA,TRUE,603.825216538462,85.5554224615385
